지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa)
108,서울,2020-12-01,1.1,-3.6,729,6.7,1358,,,,,,,6.1,250,1449,4,250,1415,1.9,1644,290,-10.1,24,1423,44.5,2.8
108,서울,2020-12-02,2.4,.5,2337,6.1,1431,,,,,,,5.6,290,1500,3.9,290,1506,1.8,1518,270,-9.5,25,1354,41.4,3
108,서울,2020-12-03,.7,-2.3,2350,4.2,1359,,,,,,,8.3,250,1553,4.9,320,2055,2.7,2333,290,-9.4,36,1410,47.1,3
108,서울,2020-12-04,-.6,-4.6,701,4.4,1518,,,,,,,6.8,270,1532,4.3,250,1535,1.8,1558,290,-9.3,30,1435,53.8,3
108,서울,2020-12-05,2.1,-2.2,724,6.6,1207,,,,,,,6.3,290,1258,3.9,320,1234,1.7,1506,20,-4.2,51,1146,63.1,4.5
108,서울,2020-12-06,4.5,1.2,750,9.1,1349,,,,,,,7.7,270,1505,4.3,270,1507,1.8,1539,50,-1.3,46,1245,66.9,5.6
108,서울,2020-12-07,3.4,-.7,2354,6.3,1253,,,,,,,10.2,340,1555,5.6,290,1314,2.6,2206,270,-4.5,37,1523,57.5,4.5
108,서울,2020-12-08,-.5,-3.5,540,4.1,1408,,,,,,,6.3,320,132,3.9,320,820,2,1711,320,-10.1,28,1430,50,2.9
108,서울,2020-12-09,1.5,-4.1,654,6.2,1346,,,,,,,4.6,50,833,3,50,842,1.5,1308,50,-6.7,35,1158,55.1,3.8
108,서울,2020-12-10,5.8,3.2,756,9.3,1500,2.58,,,,,0,6.5,180,1505,3.5,250,1451,1.7,1451,50,.7,57,57,69.9,6.5
108,서울,2020-12-11,5.3,2.6,712,9.4,1342,,,,,,,7.7,270,1652,4.5,250,1549,1.8,1531,270,1.4,57,1339,77.1,6.8
108,서울,2020-12-12,2.3,-.3,629,6.1,1432,,,,,,,8.7,290,1451,4.8,290,1457,2.1,1798,270,-7.1,32,1450,51.3,3.6
108,서울,2020-12-13,-1.1,-6,2350,2,229,7.58,,,,,2.9,11.4,290,1930,6.1,290,1833,2.9,2529,270,-5.1,52,57,74.9,4.4
108,서울,2020-12-14,-7.7,-9.7,742,-5,1454,,,,,,,9.8,320,1418,5.3,290,1410,3.4,2953,290,-16.7,31,1430,49.1,1.7
108,서울,2020-12-15,-8.3,-11.1,756,-4.6,1524,,,,,,,9.1,320,1455,5.2,320,1450,2.8,2394,290,-18.9,28,1300,43,1.4
108,서울,2020-12-16,-8.3,-11.2,559,-3.9,1526,,,,,,,8.3,290,1324,4.6,290,1406,2.6,2258,290,-18.7,29,1528,43.9,1.4
108,서울,2020-12-17,-4.9,-11.1,454,.8,1531,1.08,,,,,0,5.6,320,1149,3.7,290,1151,1.7,1478,20,-14.9,24,1507,47,2
108,서울,2020-12-18,-2.1,-6.4,2343,1.8,1425,7.58,,,,,.2,9.9,340,2030,5.4,320,2034,3,2566,50,-9.7,34,1928,57,3
108,서울,2020-12-19,-5.1,-9.6,728,-1.2,1540,,,,,,,9.3,320,1413,5.1,290,1422,2.4,2067,270,-15.5,26,1151,45.1,1.9
108,서울,2020-12-20,-3.7,-8.2,714,1.1,1549,,,,,,,7.6,320,1302,4.4,290,1303,2,1734,270,-13,29,1149,50.4,2.3
108,서울,2020-12-21,-1,-6,738,4.7,1500,,,,,,,6.7,340,1347,3.7,250,1444,1.6,1415,20,-7.2,40,1225,64.1,3.6
108,서울,2020-12-22,2,-2.5,219,7.2,1444,,,,,,,9.3,250,1500,4.7,270,1326,2,1735,20,-3.7,42,1449,67.6,4.7
108,서울,2020-12-23,4.5,-.4,440,8.5,1441,.25,,,,,0,9.1,230,1537,5.1,230,1527,2.3,2005,50,.6,62,1321,76.6,6.5
108,서울,2020-12-24,2.6,-2,2340,6.1,108,,,,,,,11.7,290,1321,6.5,290,1311,2.9,2546,270,-4.4,35,1213,61.5,4.6
108,서울,2020-12-25,-.8,-4.7,755,3.5,1420,,,,,,,9.1,270,1407,4.7,290,1456,2.1,1791,250,-9.7,34,1059,51.9,3
108,서울,2020-12-26,2.2,-2.1,404,8,1443,,,,,,,6.7,250,1417,3.9,270,1422,1.8,1575,20,-3.7,49,1455,65.8,4.7
108,서울,2020-12-27,5.8,1.4,1,10,1412,1.75,,,,,0,5,70,1429,2.8,50,833,1.8,1569,70,-.9,48,1457,62.9,5.8
108,서울,2020-12-28,6.7,4.2,826,11.4,1344,1.33,,,,,1.3,5.9,270,1840,3.1,290,1738,1.4,1226,50,1.7,45,1618,72.1,6.9
108,서울,2020-12-29,.1,-6.2,2356,4.3,6,6.25,,,,,.2,10.2,290,2034,6.1,320,2046,2.9,2464,270,-4.7,40,2040,70.8,4.6
108,서울,2020-12-30,-10.9,-12.9,2222,-6.2,1,,,,,,,10.6,290,1021,6.2,270,34,4.1,3529,270,-18.1,41,1525,55.5,1.5
108,서울,2020-12-31,-8.9,-12.9,116,-5,1512,.33,,,,,0,7.4,320,1406,4.2,250,1452,2.4,2105,270,-16.6,42,1244,53.9,1.7
108,서울,2021-01-01,-4.2,-9.8,511,1.6,1447,,,,,,,7.7,270,1530,4.1,270,1532,2,1723,270,-10.2,50,1140,64,2.9
108,서울,2021-01-02,-5,-8.4,805,-1.4,1346,,,,,,,9.9,290,1436,5.4,320,1413,2.6,2214,270,-17.1,29,1419,38.5,1.6
108,서울,2021-01-03,-5.6,-9.1,536,-2,1238,,,,,,,8.5,320,1358,4.5,270,1345,2,1696,270,-15.9,28,1219,45,1.8
108,서울,2021-01-04,-3.5,-8.4,656,.3,1535,2.33,,,,,0,5.6,70,1200,3.2,50,609,1.7,1485,50,-12.2,38,1136,51.4,2.5
108,서울,2021-01-05,-5.5,-9.9,2356,-2.1,1,5.42,,,,,0,9.9,340,1105,5.7,290,1131,2.9,2528,290,-14.2,30,1145,52.8,2.2
108,서울,2021-01-06,-7.4,-12,702,-1.9,1547,5.33,,,,,2.3,15.9,290,2348,8.1,290,2351,2.4,2039,270,-15.9,24,1503,54.6,1.9
108,서울,2021-01-07,-14.5,-16.5,802,-8.4,1,,,,,,,15.3,290,147,8.3,290,142,4.1,3563,270,-22.7,35,1447,49.9,1
108,서울,2021-01-08,-14.9,-18.6,812,-10.7,1450,,,,,,,10.9,270,1518,6.1,290,1601,3.3,2820,290,-24.5,35,1349,44,.9
108,서울,2021-01-09,-12.2,-16.6,614,-7.5,1602,,,,,,,11.4,270,1644,6.5,290,1628,2.6,2221,270,-21.5,35,1207,46.3,1.1
