연번,관리번호,도로명주소,X좌표(GRS80TM),Y좌표(GRS80TM),관리기관,관리부서,데이터기준일
107,능동-9,서울특별시 광진구 천호대로120길 22,37.55309 ,127.08620 ,서울특별시 광진구청,능동,2025-03-05
108,능동-10,서울특별시 광진구 천호대로114길 52,37.55348 ,127.08170 ,서울특별시 광진구청,능동,2025-03-05
109,구의1-1,서울특별시 광진구 자양로23길 46,37.54233 ,127.08320 ,서울특별시 광진구청,구의1동,2025-03-05
110,구의1-2,서울특별시 광진구 자양로23길 65,37.54321 ,127.08360 ,서울특별시 광진구청,구의1동,2025-03-05
111,구의1-3,서울특별시 광진구 광나루로36길 56,37.54245 ,127.08580 ,서울특별시 광진구청,구의1동,2025-03-05
112,구의1-4,서울특별시 광진구 자양로23길 53,37.54274 ,127.08330 ,서울특별시 광진구청,구의1동,2025-03-05
113,구의1-5,서울특별시 광진구 광나루로30가길 1,37.54429 ,127.08210 ,서울특별시 광진구청,구의1동,2025-03-05
114,구의1-6,서울특별시 광진구 아차산로 377-2,37.53710 ,127.08460 ,서울특별시 광진구청,구의1동,2025-03-05
115,구의1-7,서울특별시 광진구 아차산로 401,37.53758 ,127.08710 ,서울특별시 광진구청,구의1동,2025-03-05
116,구의1-8,서울특별시 광진구 자양로22길 51,37.53975 ,127.08640 ,서울특별시 광진구청,구의1동,2025-03-05
117,구의2-1,서울특별시 광진구 광나루로37길 24-6,37.54565 ,127.08840 ,서울특별시 광진구청,구의2동,2025-03-05
118,구의2-2,서울특별시 광진구 자양로40길 40,37.54730 ,127.09090 ,서울특별시 광진구청,구의2동,2025-03-05
119,구의2-3,서울특별시 광진구 천호대로130길 27,37.55050 ,127.08880 ,서울특별시 광진구청,구의2동,2025-03-05
120,구의2-4,서울특별시 광진구 천호대로130길 58,37.54927 ,127.08740 ,서울특별시 광진구청,구의2동,2025-03-05
121,구의2-5,서울특별시 광진구 자양로39길 21,37.54919 ,127.08820 ,서울특별시 광진구청,구의2동,2025-03-05
122,구의2-6,서울특별시 광진구 자양로49길 26,37.55310 ,127.09160 ,서울특별시 광진구청,구의2동,2025-03-05
123,구의2-7,서울특별시 광진구 영화사로11길 34,37.55587 ,127.09490 ,서울특별시 광진구청,구의2동,2025-03-05
124,구의2-8,서울특별시 광진구 영화사로13길 39,37.55581 ,127.09520 ,서울특별시 광진구청,구의2동,2025-03-05
125,구의2-9,서울특별시 광진구 영화사로15길 20,37.55486 ,127.09570 ,서울특별시 광진구청,구의2동,2025-03-05
126,구의2-10,서울특별시 광진구 영화사로 87-12,37.55486 ,127.09570 ,서울특별시 광진구청,구의2동,2025-03-05
127,구의2-11,서울특별시 광진구 자양로54길 9-14,37.55439 ,127.09510 ,서울특별시 광진구청,구의2동,2025-03-05
128,구의2-12,서울특별시 광진구 영화사로16가길 1,37.55437 ,127.09590 ,서울특별시 광진구청,구의2동,2025-03-05
129,구의2-13,서울특별시 광진구 영화사로16길 34,37.55404 ,127.09650 ,서울특별시 광진구청,구의2동,2025-03-05
130,구의2-14,서울특별시 광진구 영화사로16길 43,37.55383 ,127.09680 ,서울특별시 광진구청,구의2동,2025-03-05
131,구의2-15,서울특별시 광진구 영화사로16나길 29,37.55301 ,127.09570 ,서울특별시 광진구청,구의2동,2025-03-05
132,구의2-16,서울특별시 광진구 영화사로16가길 20,37.55366 ,127.09550 ,서울특별시 광진구청,구의2동,2025-03-05
133,구의2-17,서울특별시 광진구 자양로54길 12,37.55383 ,127.09450 ,서울특별시 광진구청,구의2동,2025-03-05
134,구의2-18,서울특별시 광진구 자양로50길 74,37.55283 ,127.09640 ,서울특별시 광진구청,구의2동,2025-03-05
135,구의2-19,서울특별시 광진구 자양로48길 69,37.55225 ,127.09550 ,서울특별시 광진구청,구의2동,2025-03-05
136,구의2-20,서울특별시 광진구 자양로44길 114-8,37.55064 ,127.09710 ,서울특별시 광진구청,구의2동,2025-03-05
137,구의2-21,서울특별시 광진구 자양로44길 69,37.54974 ,127.09500 ,서울특별시 광진구청,구의2동,2025-03-05
138,구의2-22,서울특별시 광진구 천호대로137길 18,37.54972 ,127.09310 ,서울특별시 광진구청,구의2동,2025-03-05
139,구의2-23,서울특별시 광진구 자양로48길 35,37.55144 ,127.09390 ,서울특별시 광진구청,구의2동,2025-03-05
140,구의2-24,서울특별시 광진구 자양로50길 22-8,37.55183 ,127.09360 ,서울특별시 광진구청,구의2동,2025-03-05
141,구의2-25,서울특별시 광진구 자양로44길 21,37.55061 ,127.09280 ,서울특별시 광진구청,구의2동,2025-03-05
142,구의2-26,서울특별시 광진구 자양로45길 5,37.55147 ,127.09140 ,서울특별시 광진구청,구의2동,2025-03-05
143,구의3-1,서울특별시 광진구 광나루로52길 12,37.53795 ,127.09210 ,서울특별시 광진구청,구의3동,2025-03-05
144,구의3-2,서울특별시 광진구 광나루로46길 9,37.53925 ,127.09120 ,서울특별시 광진구청,구의3동,2025-03-05
145,구의3-3,서울특별시 광진구 광나루로44길 32,37.54120 ,127.09460 ,서울특별시 광진구청,구의3동,2025-03-05
146,구의3-4,서울특별시 광진구 아차산로63길 28,37.54335 ,127.09260 ,서울특별시 광진구청,구의3동,2025-03-05
147,구의3-5,서울특별시 광진구 아차산로59길 49,37.54270 ,127.09110 ,서울특별시 광진구청,구의3동,2025-03-05
148,구의3-6,서울특별시 광진구 광나루로52길 94,37.54123 ,127.09210 ,서울특별시 광진구청,구의3동,2025-03-05
149,구의3-7,서울특별시 광진구 구의강변로3길 53,37.54074 ,127.09210 ,서울특별시 광진구청,구의3동,2025-03-05
150,구의3-8,서울특별시 광진구 강변역로2길 18,37.54055 ,127.09070 ,서울특별시 광진구청,구의3동,2025-03-05
151,구의3-9,서울특별시 광진구 아차산로58길 61,37.53918 ,127.09060 ,서울특별시 광진구청,구의3동,2025-03-05
152,구의3-10,서울특별시 광진구 아차산로58길 51,37.53643 ,127.08920 ,서울특별시 광진구청,구의3동,2025-03-05
153,구의3-11,서울특별시 광진구 광나루로50길 10,37.53724 ,127.09100 ,서울특별시 광진구청,구의3동,2025-03-05
154,구의3-12,서울특별시 광진구 구의로10길 8,37.53591 ,127.09100 ,서울특별시 광진구청,구의3동,2025-03-05
155,광장-1,서울특별시 광진구 광장로1가길 31,37.54800 ,127.10070 ,서울특별시 광진구청,광장동,2025-03-05
156,광장-2,서울특별시 광진구 광장로1나길 15,37.54860 ,127.10180 ,서울특별시 광진구청,광장동,2025-03-05
157,광장-3,서울특별시 광진구 광장로1다길 2,37.54849 ,127.10300 ,서울특별시 광진구청,광장동,2025-03-05
158,광장-4,서울특별시 광진구 광장로1다길 52,37.55067 ,127.10160 ,서울특별시 광진구청,광장동,2025-03-05
159,광장-5,서울특별시 광진구 광장로 63,37.54750 ,127.10410 ,서울특별시 광진구청,광장동,2025-03-05
160,광장-6,서울특별시 광진구 광장로5길 23,37.54863 ,127.10490 ,서울특별시 광진구청,광장동,2025-03-05
161,광장-7,서울특별시 광진구 광장로7길 31,37.54913 ,127.10540 ,서울특별시 광진구청,광장동,2025-03-05
162,광장-8,서울특별시 광진구 광장로 83,37.54806 ,127.10610 ,서울특별시 광진구청,광장동,2025-03-05
163,광장-9,서울특별시 광진구 아차산로78가길 34,37.54848 ,127.10870 ,서울특별시 광진구청,광장동,2025-03-05
164,광장-10,서울특별시 광진구 아차산로78길 12,37.54997 ,127.10940 ,서울특별시 광진구청,광장동,2025-03-05
165,광장-11,서울특별시 광진구 아차산로78길 44,37.55052 ,127.10960 ,서울특별시 광진구청,광장동,2025-03-05
166,광장-12,서울특별시 광진구 아차산로 591,37.54637 ,127.10520 ,서울특별시 광진구청,광장동,2025-03-05
167,광장-13,서울특별시 광진구 광장로9길 10-11,37.54878 ,127.10600 ,서울특별시 광진구청,광장동,2025-03-05
168,광장-14,서울특별시 광진구 광장로1가길 49,37.54857 ,127.09960 ,서울특별시 광진구청,광장동,2025-03-05
169,광장-15,서울특별시 광진구 워커힐로 32,37.54389 ,127.09830 ,서울특별시 광진구청,광장동,2025-03-05
170,광장-16,서울특별시 광진구 아차산로66길,37.54155 ,127.09950 ,서울특별시 광진구청,광장동,2025-03-05
171,광장-17,서울특별시 광진구 아차산로70길 26,37.54208 ,127.10100 ,서울특별시 광진구청,광장동,2025-03-05
172,광장-18,서울특별시 광진구 아차산로70길,37.54095 ,127.10310 ,서울특별시 광진구청,광장동,2025-03-05
173,자양1-1,서울특별시 광진구 뚝섬로59길 3,37.53215 ,127.08410 ,서울특별시 광진구청,자양1동,2025-03-05
174,자양1-2,서울특별시 광진구 뚝섬로43길 17,37.53362 ,127.07700 ,서울특별시 광진구청,자양1동,2025-03-05
175,자양1-3,서울특별시 광진구 자양번영로 54,37.53435 ,127.07610 ,서울특별시 광진구청,자양1동,2025-03-05
