연번,관리번호,도로명주소,X좌표(GRS80TM),Y좌표(GRS80TM),관리기관,관리부서,데이터기준일
214,군자-5,서울특별시 광진구 능동로 257,37.55310 ,127.07670 ,서울특별시 광진구청,군자동,2025-03-05
215,군자-6,서울특별시 광진구 능동로27길 9,37.55355 ,127.07680 ,서울특별시 광진구청,군자동,2025-03-05
216,군자-7,서울특별시 광진구 군자로10길 37,37.54934 ,127.07260 ,서울특별시 광진구청,군자동,2025-03-05
217,군자-8,서울특별시 광진구 군자로13길 26,37.55212 ,127.07090 ,서울특별시 광진구청,군자동,2025-03-05
218,군자-9,서울특별시 광진구 동일로42길 2,37.55294 ,127.07030 ,서울특별시 광진구청,군자동,2025-03-05
219,군자-10,서울특별시 광진구 천호대로102길 55,37.55669 ,127.07310 ,서울특별시 광진구청,군자동,2025-03-05
220,군자-11,서울특별시 광진구 동일로58길 20-1,37.55713 ,127.07380 ,서울특별시 광진구청,군자동,2025-03-05
221,군자-12,서울특별시 광진구 동일로56길 48,37.55541 ,127.07450 ,서울특별시 광진구청,군자동,2025-03-05
222,군자-13,서울특별시 광진구 면목로 28,37.55664 ,127.07620 ,서울특별시 광진구청,군자동,2025-03-05
223,군자-14,서울특별시 광진구 면목로5길 44,37.55646 ,127.07360 ,서울특별시 광진구청,군자동,2025-03-05
224,군자-15,서울특별시 광진구 천호대로104나길 15-5,37.55697 ,127.07550 ,서울특별시 광진구청,군자동,2025-03-05
225,군자-16,서울특별시 광진구 군자로17길 27,37.55650 ,127.07700 ,서울특별시 광진구청,군자동,2025-03-05
226,군자-17,서울특별시 광진구 면목로 13,37.55550 ,127.07560 ,서울특별시 광진구청,군자동,2025-03-05
227,군자-18,서울특별시 광진구 광나루로 389,37.54772 ,127.07340 ,서울특별시 광진구청,군자동,2025-03-05
228,군자-19,서울특별시 광진구 동일로 246,37.55354 ,127.07040 ,서울특별시 광진구청,군자동,2025-03-05
,,,,,,,
,,,,,,,
,,,,,,,
